Longitude,Latitude,Elevation
76.5,10.5,332
77.5,10.5,295
78.5,10.5,164
79.5,10.5,7
75.5,11.5,0
76.5,11.5,1029
77.5,11.5,198
78.5,11.5,363
79.5,11.5,18
75.5,12.5,167
76.5,12.5,786
77.5,12.5,741
78.5,12.5,422
79.5,12.5,104
74.5,13.5,0
75.5,13.5,814
76.5,13.5,743
77.5,13.5,749
78.5,13.5,766
79.5,13.5,213
74.5,14.5,48
75.5,14.5,597
76.5,14.5,616
77.5,14.5,421
78.5,14.5,234
79.5,14.5,66
74.5,15.5,709
75.5,15.5,608
76.5,15.5,433
77.5,15.5,421
78.5,15.5,211
79.5,15.5,128
73.5,16.5,165
74.5,16.5,578
75.5,16.5,541
76.5,16.5,479
77.5,16.5,374
78.5,16.5,420
79.5,16.5,138
80.5,16.5,24
81.5,16.5,9
73.5,17.5,22
74.5,17.5,692
75.5,17.5,447
76.5,17.5,524
77.5,17.5,614
78.5,17.5,563
79.5,17.5,257
80.5,17.5,173
81.5,17.5,138
82.5,17.5,52
73.5,18.5,608
74.5,18.5,509
75.5,18.5,584
76.5,18.5,612
77.5,18.5,381
78.5,18.5,584
79.5,18.5,187
80.5,18.5,220
81.5,18.5,327
82.5,18.5,887
83.5,18.5,88
73.5,19.5,225
74.5,19.5,530
75.5,19.5,463
76.5,19.5,412
77.5,19.5,407
78.5,19.5,450
79.5,19.5,234
80.5,19.5,272
81.5,19.5,568
82.5,19.5,623
83.5,19.5,415
84.5,19.5,390
73.5,20.5,306
74.5,20.5,442
75.5,20.5,436
76.5,20.5,498
77.5,20.5,393
78.5,20.5,244
79.5,20.5,228
80.5,20.5,349
81.5,20.5,364
82.5,20.5,720
83.5,20.5,162
84.5,20.5,413
85.5,20.5,104
86.5,20.5,5
69.5,21.5,0
70.5,21.5,603
71.5,21.5,95
72.5,21.5,0
73.5,21.5,229
74.5,21.5,151
75.5,21.5,603
76.5,21.5,323
77.5,21.5,1042
78.5,21.5,422
79.5,21.5,363
80.5,21.5,315
81.5,21.5,291
82.5,21.5,404
83.5,21.5,200
84.5,21.5,264
85.5,21.5,602
86.5,21.5,61
69.5,22.5,0
70.5,22.5,63
71.5,22.5,111
72.5,22.5,17
73.5,22.5,137
74.5,22.5,378
75.5,22.5,548
76.5,22.5,303
77.5,22.5,306
78.5,22.5,693
79.5,22.5,570
80.5,22.5,461
81.5,22.5,742
82.5,22.5,340
83.5,22.5,558
84.5,22.5,354
85.5,22.5,493
86.5,22.5,85
87.5,22.5,18
88.5,22.5,4
92.5,22.5,235
68.5,23.5,2
69.5,23.5,10
70.5,23.5,95
71.5,23.5,5
72.5,23.5,97
73.5,23.5,195
74.5,23.5,316
75.5,23.5,494
76.5,23.5,432
77.5,23.5,468
78.5,23.5,586
79.5,23.5,426
80.5,23.5,577
81.5,23.5,542
82.5,23.5,801
83.5,23.5,717
84.5,23.5,769
85.5,23.5,654
86.5,23.5,189
87.5,23.5,56
88.5,23.5,13
91.5,23.5,40
92.5,23.5,741
69.5,24.5,35
70.5,24.5,28
71.5,24.5,27
72.5,24.5,265
73.5,24.5,605
74.5,24.5,461
75.5,24.5,496
76.5,24.5,322
77.5,24.5,480
78.5,24.5,395
79.5,24.5,391
80.5,24.5,351
81.5,24.5,330
82.5,24.5,228
83.5,24.5,180
84.5,24.5,312
85.5,24.5,358
86.5,24.5,266
87.5,24.5,130
88.5,24.5,22
92.5,24.5,77
93.5,24.5,593
70.5,25.5,113
71.5,25.5,108
72.5,25.5,155
73.5,25.5,284
74.5,25.5,463
75.5,25.5,296
76.5,25.5,229
77.5,25.5,474
78.5,25.5,245
79.5,25.5,167
80.5,25.5,119
81.5,25.5,103
82.5,25.5,88
83.5,25.5,67
84.5,25.5,69
85.5,25.5,50
86.5,25.5,41
87.5,25.5,33
88.5,25.5,31
90.5,25.5,502
91.5,25.5,1630
92.5,25.5,1018
93.5,25.5,525
94.5,25.5,1319
70.5,26.5,167
71.5,26.5,296
72.5,26.5,330
73.5,26.5,291
74.5,26.5,433
75.5,26.5,311
76.5,26.5,259
77.5,26.5,298
78.5,26.5,160
79.5,26.5,138
80.5,26.5,127
81.5,26.5,112
82.5,26.5,92
83.5,26.5,75
84.5,26.5,71
85.5,26.5,63
86.5,26.5,79
87.5,26.5,77
88.5,26.5,91
89.5,26.5,51
90.5,26.5,62
91.5,26.5,58
92.5,26.5,66
93.5,26.5,606
94.5,26.5,664
69.5,27.5,65
70.5,27.5,125
71.5,27.5,157
72.5,27.5,192
73.5,27.5,315
74.5,27.5,333
75.5,27.5,489
76.5,27.5,491
77.5,27.5,184
78.5,27.5,173
79.5,27.5,152
80.5,27.5,141
81.5,27.5,118
82.5,27.5,107
83.5,27.5,110
84.5,27.5,437
88.5,27.5,1727
92.5,27.5,2240
93.5,27.5,1668
94.5,27.5,110
95.5,27.5,133
96.5,27.5,436
72.5,28.5,130
73.5,28.5,211
74.5,28.5,249
75.5,28.5,263
76.5,28.5,216
77.5,28.5,197
78.5,28.5,196
79.5,28.5,178
80.5,28.5,163
93.5,28.5,3215
94.5,28.5,1423
95.5,28.5,1953
73.5,29.5,166
74.5,29.5,187
75.5,29.5,214
76.5,29.5,232
77.5,29.5,247
78.5,29.5,256
79.5,29.5,978
74.5,30.5,197
75.5,30.5,232
76.5,30.5,264
77.5,30.5,428
78.5,30.5,1451
79.5,30.5,2077
80.5,30.5,5943
74.5,31.5,216
75.5,31.5,227
76.5,31.5,715
77.5,31.5,2751
78.5,31.5,3976
75.5,32.5,682
76.5,32.5,2568
77.5,32.5,4707
78.5,32.5,5522
73.5,33.5,668
74.5,33.5,3527
75.5,33.5,3228
76.5,33.5,5166
77.5,33.5,4576
78.5,33.5,5441
73.5,34.5,1992
74.5,34.5,2480
75.5,34.5,4268
76.5,34.5,3436
77.5,34.5,4628
78.5,34.5,5538
79.5,34.5,5604
73.5,35.5,2106
74.5,35.5,1669
75.5,35.5,4801
76.5,35.5,5148
77.5,35.5,5417
77.5,8.5,502
76.5,9.5,2
77.5,9.5,190
78.5,9.5,46
